Company Code,Fiscal Year,Posting period,Posting Date,Document Date,G/L Account,Reference,Document Currency,Tax Code,Amount in Doc. Curr.,Document Type,Value date,Text
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,"151,785.85",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,"16,865.10",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,"14,885.37",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,"7,967.64",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,885.29,RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,637.95,RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,"5,741.56",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,531.62,RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,"4,784.60",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,399.99,RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/18/2025,6/9/2025,13003115,312,EUR,YI,"3,599.94",RE,7/18/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/8/2025,6/27/2025,13003115,91,GBP,YA,"9,847.04",RE,7/7/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/8/2025,6/27/2025,13003115,91,GBP,YA,"4,475.92",RE,7/7/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/8/2025,6/27/2025,13003115,91,GBP,YA,"9,309.93",RE,7/7/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,3/18/2025,13003115,399,USD,YI,"-1,552.50",RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,5/15/2025,13003115,636,USD,YI,"-1,293.75",RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/25/2025,4/8/2025,13003115,478,USD,YI,-517.50,RE,7/25/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/4/2025,6/30/2025,13003115,663,EUR,YI,"5,103.47",RE,7/4/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/3/2025,6/12/2025,13003115,344,USD,YA,"2,093.00",KR,7/3/2025,Vendor Invoice-VAT Rec Input RC
1234,2025,7,7/16/2025,7/11/2025,13003115,843,USD,YI,"2,062.41",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,362,EUR,YI,"2,665.12",RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/30/2025,13003115,362,EUR,YI,296.13,RE,6/30/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/14/2025,6/24/2025,13003115,753,USD,YA,"6,900.00",RE,7/14/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/16/2025,7/15/2025,13003115,69,USD,YI,"4,067.90",RE,7/16/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/1/2025,6/26/2025,13003115,133,EUR,YI,"2,371.30",RE,7/1/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/3/2025,7/1/2025,13003115,693,USD,YI,"1,380.00",RE,7/3/2025,Invoice - Gross-VAT Rec Input RC
1234,2025,7,7/9/2025,7/9/2025,13003115,204,USD,YI,"1,157.13",RE,7/9/2025,Invoice - Gross-VAT Rec Input RC
